###	Overall-Options.html#index-_0023_0023_0023
-march	LoongArch-Options.html#index--march
fstrict-enums	C_002b_002b-Dialect-Options.html#index-fstrict-enums
fstrict-overflow	Code-Gen-Options.html#index-fstrict-overflow
fstrict-volatile-bitfields	Code-Gen-Options.html#index-fstrict-volatile-bitfields
fstrong-eval-order	C_002b_002b-Dialect-Options.html#index-fstrong-eval-order
fsync-libcalls	Code-Gen-Options.html#index-fsync-libcalls
fsyntax-only	Warning-Options.html#index-fsyntax-only
ftabstop	Preprocessor-Options.html#index-ftabstop
ftemplate-backtrace-limit	C_002b_002b-Dialect-Options.html#index-ftemplate-backtrace-limit
ftemplate-depth	C_002b_002b-Dialect-Options.html#index-ftemplate-depth
ftest-coverage	Instrumentation-Options.html#index-ftest-coverage
fthread-jumps	Optimize-Options.html#index-fthread-jumps
fthreadsafe-statics	C_002b_002b-Dialect-Options.html#index-fthreadsafe-statics
ftime-report	Developer-Options.html#index-ftime-report
ftime-report-details	Developer-Options.html#index-ftime-report-details
ftls-model	Code-Gen-Options.html#index-ftls-model
ftoplevel-reorder	Optimize-Options.html#index-ftoplevel-reorder
ftracer	Optimize-Options.html#index-ftracer
ftrack-macro-expansion	Preprocessor-Options.html#index-ftrack-macro-expansion
ftrampolines	Code-Gen-Options.html#index-ftrampolines
ftrapping-math	Optimize-Options.html#index-ftrapping-math
ftrapv	Code-Gen-Options.html#index-ftrapv
ftree-bit-ccp	Optimize-Options.html#index-ftree-bit-ccp
ftree-builtin-call-dce	Optimize-Options.html#index-ftree-builtin-call-dce
ftree-ccp	Optimize-Options.html#index-ftree-ccp
ftree-ch	Optimize-Options.html#index-ftree-ch
ftree-coalesce-vars	Optimize-Options.html#index-ftree-coalesce-vars
ftree-copy-prop	Optimize-Options.html#index-ftree-copy-prop
ftree-dce	Optimize-Options.html#index-ftree-dce
ftree-dominator-opts	Optimize-Options.html#index-ftree-dominator-opts
ftree-dse	Optimize-Options.html#index-ftree-dse
ftree-forwprop	Optimize-Options.html#index-ftree-forwprop
ftree-fre	Optimize-Options.html#index-ftree-fre
ftree-loop-distribute-patterns	Optimize-Options.html#index-ftree-loop-distribute-patterns
ftree-loop-distribution	Optimize-Options.html#index-ftree-loop-distribution
ftree-loop-if-convert	Optimize-Options.html#index-ftree-loop-if-convert
ftree-loop-im	Optimize-Options.html#index-ftree-loop-im
ftree-loop-ivcanon	Optimize-Options.html#index-ftree-loop-ivcanon
ftree-loop-linear	Optimize-Options.html#index-ftree-loop-linear
ftree-loop-optimize	Optimize-Options.html#index-ftree-loop-optimize
ftree-loop-vectorize	Optimize-Options.html#index-ftree-loop-vectorize
ftree-parallelize-loops	Optimize-Options.html#index-ftree-parallelize-loops
ftree-partial-pre	Optimize-Options.html#index-ftree-partial-pre
ftree-phiprop	Optimize-Options.html#index-ftree-phiprop
ftree-pre	Optimize-Options.html#index-ftree-pre
ftree-pta	Optimize-Options.html#index-ftree-pta
ftree-reassoc	Optimize-Options.html#index-ftree-reassoc
ftree-scev-cprop	Optimize-Options.html#index-ftree-scev-cprop
ftree-sink	Optimize-Options.html#index-ftree-sink
ftree-slp-vectorize	Optimize-Options.html#index-ftree-slp-vectorize
ftree-slsr	Optimize-Options.html#index-ftree-slsr
ftree-sra	Optimize-Options.html#index-ftree-sra
ftree-switch-conversion	Optimize-Options.html#index-ftree-switch-conversion
ftree-tail-merge	Optimize-Options.html#index-ftree-tail-merge
ftree-ter	Optimize-Options.html#index-ftree-ter
ftree-vectorize	Optimize-Options.html#index-ftree-vectorize
ftree-vrp	Optimize-Options.html#index-ftree-vrp
ftrivial-auto-var-init	Optimize-Options.html#index-ftrivial-auto-var-init
funconstrained-commons	Optimize-Options.html#index-funconstrained-commons
funit-at-a-time	Optimize-Options.html#index-funit-at-a-time
funroll-all-loops	Optimize-Options.html#index-funroll-all-loops
funroll-loops	Optimize-Options.html#index-funroll-loops
funsafe-math-optimizations	Optimize-Options.html#index-funsafe-math-optimizations
funsigned-bitfields	C-Dialect-Options.html#index-funsigned-bitfields
funsigned-bitfields	Structures-unions-enumerations-and-bit-fields-implementation.html#index-funsigned-bitfields-1
funsigned-bitfields	Non-bugs.html#index-funsigned-bitfields-2
funsigned-char	C-Dialect-Options.html#index-funsigned-char
funsigned-char	Characters-implementation.html#index-funsigned-char-1
funswitch-loops	Optimize-Options.html#index-funswitch-loops
funwind-tables	Code-Gen-Options.html#index-funwind-tables
fuse-cxa-atexit	C_002b_002b-Dialect-Options.html#index-fuse-cxa-atexit
fuse-cxa-get-exception-ptr	C_002b_002b-Dialect-Options.html#index-fuse-cxa-get-exception-ptr
fuse-ld=bfd	Link-Options.html#index-fuse-ld_003dbfd
fuse-ld=gold	Link-Options.html#index-fuse-ld_003dgold
fuse-ld=lld	Link-Options.html#index-fuse-ld_003dlld
fuse-ld=mold	Link-Options.html#index-fuse-ld_003dmold
fuse-linker-plugin	Optimize-Options.html#index-fuse-linker-plugin
fvar-tracking	Debugging-Options.html#index-fvar-tracking
fvar-tracking-assignments	Debugging-Options.html#index-fvar-tracking-assignments
fvar-tracking-assignments-toggle	Developer-Options.html#index-fvar-tracking-assignments-toggle
fvariable-expansion-in-unroller	Optimize-Options.html#index-fvariable-expansion-in-unroller
fvect-cost-model	Optimize-Options.html#index-fvect-cost-model
fverbose-asm	Code-Gen-Options.html#index-fverbose-asm
fversion-loops-for-strides	Optimize-Options.html#index-fversion-loops-for-strides
fvisibility	Code-Gen-Options.html#index-fvisibility
fvisibility-inlines-hidden	C_002b_002b-Dialect-Options.html#index-fvisibility-inlines-hidden
fvisibility-ms-compat	C_002b_002b-Dialect-Options.html#index-fvisibility-ms-compat
fvpt	Optimize-Options.html#index-fvpt
fvtable-verify	Instrumentation-Options.html#index-fvtable-verify
fvtv-counts	Instrumentation-Options.html#index-fvtv-counts
fvtv-debug	Instrumentation-Options.html#index-fvtv-debug
fweak	C_002b_002b-Dialect-Options.html#index-fweak
fweb	Optimize-Options.html#index-fweb
fwhole-program	Optimize-Options.html#index-fwhole-program
fwide-exec-charset	Preprocessor-Options.html#index-fwide-exec-charset
fworking-directory	Preprocessor-Options.html#index-fworking-directory
fwrapv	Code-Gen-Options.html#index-fwrapv
fwrapv-pointer	Code-Gen-Options.html#index-fwrapv-pointer
fwritable-relocated-rdata	x86-Windows-Options.html#index-fwritable-relocated-rdata
fzero-call-used-regs	Optimize-Options.html#index-fzero-call-used-regs
fzero-initialized-in-bss	Optimize-Options.html#index-fzero-initialized-in-bss
fzero-link	Objective-C-and-Objective-C_002b_002b-Dialect-Options.html#index-fzero-link
g	Debugging-Options.html#index-g
G	ARC-Options.html#index-G
G	M32R_002fD-Options.html#index-G-1
G	MIPS-Options.html#index-G-2
G	Nios-II-Options.html#index-G-3
G	RS_002f6000-and-PowerPC-Options.html#index-G-4
G	System-V-Options.html#index-G-5
gas-loc-support	Debugging-Options.html#index-gas-loc-support
gas-locview-support	Debugging-Options.html#index-gas-locview-support
gbtf	Debugging-Options.html#index-gbtf
gcolumn-info	Debugging-Options.html#index-gcolumn-info
gctf	Debugging-Options.html#index-gctf
gdescribe-dies	Debugging-Options.html#index-gdescribe-dies
gdwarf	Debugging-Options.html#index-gdwarf
gdwarf32	Debugging-Options.html#index-gdwarf32
gdwarf64	Debugging-Options.html#index-gdwarf64
gen-decls	Objective-C-and-Objective-C_002b_002b-Dialect-Options.html#index-gen-decls
gfull	Darwin-Options.html#index-gfull
ggdb	Debugging-Options.html#index-ggdb
ggnu-pubnames	Debugging-Options.html#index-ggnu-pubnames
ginline-points	Debugging-Options.html#index-ginline-points
ginternal-reset-location-views	Debugging-Options.html#index-ginternal-reset-location-views
gno-as-loc-support	Debugging-Options.html#index-gno-as-loc-support
gno-column-info	Debugging-Options.html#index-gno-column-info
gno-inline-points	Debugging-Options.html#index-gno-inline-points
gno-internal-reset-location-views	Debugging-Options.html#index-gno-internal-reset-location-views
gno-record-gcc-switches	Debugging-Options.html#index-gno-record-gcc-switches
gno-statement-frontiers	Debugging-Options.html#index-gno-statement-frontiers
gno-strict-dwarf	Debugging-Options.html#index-gno-strict-dwarf
gno-variable-location-views	Debugging-Options.html#index-gno-variable-location-views
gpubnames	Debugging-Options.html#index-gpubnames
grecord-gcc-switches	Debugging-Options.html#index-grecord-gcc-switches
gsplit-dwarf	Debugging-Options.html#index-gsplit-dwarf
gstabs	Debugging-Options.html#index-gstabs
gstabs+	Debugging-Options.html#index-gstabs_002b
gstatement-frontiers	Debugging-Options.html#index-gstatement-frontiers
gstrict-dwarf	Debugging-Options.html#index-gstrict-dwarf
gtoggle	Developer-Options.html#index-gtoggle
gused	Darwin-Options.html#index-gused
gvariable-location-views	Debugging-Options.html#index-gvariable-location-views
gvariable-location-views=incompat5	Debugging-Options.html#index-gvariable-location-views_003dincompat5
gvms	Debugging-Options.html#index-gvms
gxcoff	Debugging-Options.html#index-gxcoff
gxcoff+	Debugging-Options.html#index-gxcoff_002b
gz	Debugging-Options.html#index-gz
H	Preprocessor-Options.html#index-H
headerpad_max_install_names	Darwin-Options.html#index-headerpad_005fmax_005finstall_005fnames
help	Overall-Options.html#index-help
I	Directory-Options.html#index-I
I-	Directory-Options.html#index-I-
idirafter	Directory-Options.html#index-idirafter
iframework	Darwin-Options.html#index-iframework
imacros	Preprocessor-Options.html#index-imacros
image_base	Darwin-Options.html#index-image_005fbase
imultilib	Directory-Options.html#index-imultilib
include	Preprocessor-Options.html#index-include
init	Darwin-Options.html#index-init
install_name	Darwin-Options.html#index-install_005fname
iplugindir=	Directory-Options.html#index-iplugindir_003d
iprefix	Directory-Options.html#index-iprefix
iquote	Directory-Options.html#index-iquote
isysroot	Directory-Options.html#index-isysroot
isystem	Directory-Options.html#index-isystem
iwithprefix	Directory-Options.html#index-iwithprefix
iwithprefixbefore	Directory-Options.html#index-iwithprefixbefore
keep_private_externs	Darwin-Options.html#index-keep_005fprivate_005fexterns
l	Link-Options.html#index-l
L	Directory-Options.html#index-L
lobjc	Link-Options.html#index-lobjc
M	Preprocessor-Options.html#index-M
m	RS_002f6000-and-PowerPC-Options.html#index-m
m1	SH-Options.html#index-m1
m10	PDP-11-Options.html#index-m10
m128bit-long-double	x86-Options.html#index-m128bit-long-double
m16	x86-Options.html#index-m16
m16-bit	CRIS-Options.html#index-m16-bit
m16-bit	NDS32-Options.html#index-m16-bit-1
m1reg-	Adapteva-Epiphany-Options.html#index-m1reg-
m2	SH-Options.html#index-m2
m210	MCore-Options.html#index-m210
m2a	SH-Options.html#index-m2a
m2a-nofpu	SH-Options.html#index-m2a-nofpu
m2a-single	SH-Options.html#index-m2a-single
m2a-single-only	SH-Options.html#index-m2a-single-only
m3	SH-Options.html#index-m3
m31	S_002f390-and-zSeries-Options.html#index-m31
m32	RS_002f6000-and-PowerPC-Options.html#index-m32
m32	SPARC-Options.html#index-m32-1
m32	TILE-Gx-Options.html#index-m32-2
m32	TILEPro-Options.html#index-m32-3
m32	x86-Options.html#index-m32-4
m32-bit	CRIS-Options.html#index-m32-bit
m32bit-doubles	RL78-Options.html#index-m32bit-doubles
m32bit-doubles	RX-Options.html#index-m32bit-doubles-1
m32r	M32R_002fD-Options.html#index-m32r
m32r2	M32R_002fD-Options.html#index-m32r2
m32rx	M32R_002fD-Options.html#index-m32rx
m340	MCore-Options.html#index-m340
m3dnow	x86-Options.html#index-m3dnow
m3dnowa	x86-Options.html#index-m3dnowa
m3e	SH-Options.html#index-m3e
m4	SH-Options.html#index-m4
m4-100	SH-Options.html#index-m4-100
m4-100-nofpu	SH-Options.html#index-m4-100-nofpu
m4-100-single	SH-Options.html#index-m4-100-single
m4-100-single-only	SH-Options.html#index-m4-100-single-only
m4-200	SH-Options.html#index-m4-200
m4-200-nofpu	SH-Options.html#index-m4-200-nofpu
m4-200-single	SH-Options.html#index-m4-200-single
m4-200-single-only	SH-Options.html#index-m4-200-single-only
m4-300	SH-Options.html#index-m4-300
m4-300-nofpu	SH-Options.html#index-m4-300-nofpu
m4-300-single	SH-Options.html#index-m4-300-single
m4-300-single-only	SH-Options.html#index-m4-300-single-only
m4-340	SH-Options.html#index-m4-340
m4-500	SH-Options.html#index-m4-500
m4-nofpu	SH-Options.html#index-m4-nofpu
m4-single	SH-Options.html#index-m4-single
m4-single-only	SH-Options.html#index-m4-single-only
m40	PDP-11-Options.html#index-m40
m45	PDP-11-Options.html#index-m45
m4a	SH-Options.html#index-m4a
m4a-nofpu	SH-Options.html#index-m4a-nofpu
m4a-single	SH-Options.html#index-m4a-single
m4a-single-only	SH-Options.html#index-m4a-single-only
m4al	SH-Options.html#index-m4al
m4byte-functions	MCore-Options.html#index-m4byte-functions
m5200	M680x0-Options.html#index-m5200
m5206e	M680x0-Options.html#index-m5206e
m528x	M680x0-Options.html#index-m528x
m5307	M680x0-Options.html#index-m5307
m5407	M680x0-Options.html#index-m5407
m64	Nvidia-PTX-Options.html#index-m64
m64	RS_002f6000-and-PowerPC-Options.html#index-m64-1
m64	S_002f390-and-zSeries-Options.html#index-m64-2
m64	SPARC-Options.html#index-m64-3
m64	TILE-Gx-Options.html#index-m64-4
m64	x86-Options.html#index-m64-5
m64bit-doubles	RL78-Options.html#index-m64bit-doubles
m64bit-doubles	RX-Options.html#index-m64bit-doubles-1
m68000	M680x0-Options.html#index-m68000
m68010	M680x0-Options.html#index-m68010
m68020	M680x0-Options.html#index-m68020
m68020-40	M680x0-Options.html#index-m68020-40
m68020-60	M680x0-Options.html#index-m68020-60
m68030	M680x0-Options.html#index-m68030
m68040	M680x0-Options.html#index-m68040
m68060	M680x0-Options.html#index-m68060
m68881	M680x0-Options.html#index-m68881
m8-bit	CRIS-Options.html#index-m8-bit
m8bit-idiv	x86-Options.html#index-m8bit-idiv
m8byte-align	V850-Options.html#index-m8byte-align
m96bit-long-double	x86-Options.html#index-m96bit-long-double
mA6	ARC-Options.html#index-mA6
mA7	ARC-Options.html#index-mA7
mabi	AArch64-Options.html#index-mabi
mabi	ARM-Options.html#index-mabi-1
mabi	LoongArch-Options.html#index-mabi-2
mabi	PRU-Options.html#index-mabi-3
mabi	RISC-V-Options.html#index-mabi-4
mabi	RS_002f6000-and-PowerPC-Options.html#index-mabi-5
mabi	x86-Options.html#index-mabi-6
mabi	Xtensa-Options.html#index-mabi-7
mabi=32	MIPS-Options.html#index-mabi_003d32
mabi=64	MIPS-Options.html#index-mabi_003d64
mabi=call0	Xtensa-Options.html#index-mabi_003dcall0
mabi=eabi	MIPS-Options.html#index-mabi_003deabi
mabi=elfv1	RS_002f6000-and-PowerPC-Options.html#index-mabi_003delfv1
mabi=elfv2	RS_002f6000-and-PowerPC-Options.html#index-mabi_003delfv2
mabi=gnu	MMIX-Options.html#index-mabi_003dgnu
mabi=ibmlongdouble	RS_002f6000-and-PowerPC-Options.html#index-mabi_003dibmlongdouble
mabi=ieeelongdouble	RS_002f6000-and-PowerPC-Options.html#index-mabi_003dieeelongdouble
mabi=mmixware	MMIX-Options.html#index-mabi_003dmmixware
mabi=n32	MIPS-Options.html#index-mabi_003dn32
mabi=o64	MIPS-Options.html#index-mabi_003do64
mabi=windowed	Xtensa-Options.html#index-mabi_003dwindowed
mabicalls	MIPS-Options.html#index-mabicalls
mabm	x86-Options.html#index-mabm
mabort-on-noreturn	ARM-Options.html#index-mabort-on-noreturn
mabs=2008	MIPS-Options.html#index-mabs_003d2008
mabs=legacy	MIPS-Options.html#index-mabs_003dlegacy
mabsdata	AVR-Options.html#index-mabsdata
mabsdiff	MeP-Options.html#index-mabsdiff
mac0	PDP-11-Options.html#index-mac0
macc-4	FRV-Options.html#index-macc-4
macc-8	FRV-Options.html#index-macc-8
maccumulate-args	AVR-Options.html#index-maccumulate-args
maccumulate-outgoing-args	SH-Options.html#index-maccumulate-outgoing-args
maccumulate-outgoing-args	x86-Options.html#index-maccumulate-outgoing-args-1
maddress-mode=long	x86-Options.html#index-maddress-mode_003dlong
maddress-mode=short	x86-Options.html#index-maddress-mode_003dshort
mads	RS_002f6000-and-PowerPC-Options.html#index-mads
madx	x86-Options.html#index-madx
maes	x86-Options.html#index-maes
maix-struct-return	RS_002f6000-and-PowerPC-Options.html#index-maix-struct-return
maix32	RS_002f6000-and-PowerPC-Options.html#index-maix32
maix64	RS_002f6000-and-PowerPC-Options.html#index-maix64
malign-300	H8_002f300-Options.html#index-malign-300
malign-call	ARC-Options.html#index-malign-call
malign-data	RISC-V-Options.html#index-malign-data
malign-data	x86-Options.html#index-malign-data-1
malign-double	x86-Options.html#index-malign-double
malign-int	M680x0-Options.html#index-malign-int
malign-labels	FRV-Options.html#index-malign-labels
malign-loops	M32R_002fD-Options.html#index-malign-loops
malign-natural	RS_002f6000-and-PowerPC-Options.html#index-malign-natural
malign-power	RS_002f6000-and-PowerPC-Options.html#index-malign-power
malign-stringops	x86-Options.html#index-malign-stringops
mall-opts	MeP-Options.html#index-mall-opts
malloc-cc	FRV-Options.html#index-malloc-cc
mallow-string-insns	RX-Options.html#index-mallow-string-insns
mallregs	RL78-Options.html#index-mallregs
maltivec	RS_002f6000-and-PowerPC-Options.html#index-maltivec
malu32	eBPF-Options.html#index-malu32
mam33	MN10300-Options.html#index-mam33
mam33-2	MN10300-Options.html#index-mam33-2
mam34	MN10300-Options.html#index-mam34
mamx-bf16	x86-Options.html#index-mamx-bf16
mamx-int8	x86-Options.html#index-mamx-int8
mamx-tile	x86-Options.html#index-mamx-tile
manchor	C-SKY-Options.html#index-manchor
mandroid	GNU_002fLinux-Options.html#index-mandroid
mannotate-align	ARC-Options.html#index-mannotate-align
mapcs	ARM-Options.html#index-mapcs
mapcs-frame	ARM-Options.html#index-mapcs-frame
mapp-regs	SPARC-Options.html#index-mapp-regs
mapp-regs	V850-Options.html#index-mapp-regs-1
mARC600	ARC-Options.html#index-mARC600
mARC601	ARC-Options.html#index-mARC601
mARC700	ARC-Options.html#index-mARC700
march	AArch64-Options.html#index-march
march	AMD-GCN-Options.html#index-march-1
march	ARM-Options.html#index-march-2
march	C6X-Options.html#index-march-3
march	CRIS-Options.html#index-march-4
march	HPPA-Options.html#index-march-5
march	HPPA-Options.html#index-march-6
march	M680x0-Options.html#index-march-7
march	MIPS-Options.html#index-march-8
march	NDS32-Options.html#index-march-9
march	Nios-II-Options.html#index-march-10
march	Nvidia-PTX-Options.html#index-march-11
march	Nvidia-PTX-Options.html#index-march-12
march	RISC-V-Options.html#index-march-13
march	S_002f390-and-zSeries-Options.html#index-march-14
march	x86-Options.html#index-march-15
march=	C-SKY-Options.html#index-march_003d
marclinux	ARC-Options.html#index-marclinux
marclinux_prof	ARC-Options.html#index-marclinux_005fprof
margonaut	ARC-Options.html#index-margonaut
marm	ARM-Options.html#index-marm
mas100-syntax	RX-Options.html#index-mas100-syntax
masm-hex	MSP430-Options.html#index-masm-hex
masm-syntax-unified	ARM-Options.html#index-masm-syntax-unified
masm=<var>dialect</var>	x86-Options.html#index-masm_003ddialect
matomic	ARC-Options.html#index-matomic
matomic-model=<var>model</var>	SH-Options.html#index-matomic-model_003dmodel
mauto-litpools	Xtensa-Options.html#index-mauto-litpools
mauto-modify-reg	ARC-Options.html#index-mauto-modify-reg
mauto-pic	IA-64-Options.html#index-mauto-pic
maverage	MeP-Options.html#index-maverage
mavoid-indexed-addresses	RS_002f6000-and-PowerPC-Options.html#index-mavoid-indexed-addresses
mavx	x86-Options.html#index-mavx
mavx2	x86-Options.html#index-mavx2
mavx256-split-unaligned-load	x86-Options.html#index-mavx256-split-unaligned-load
mavx256-split-unaligned-store	x86-Options.html#index-mavx256-split-unaligned-store
mavx5124fmaps	x86-Options.html#index-mavx5124fmaps
mavx5124vnniw	x86-Options.html#index-mavx5124vnniw
mavx512bf16	x86-Options.html#index-mavx512bf16
mavx512bitalg	x86-Options.html#index-mavx512bitalg
mavx512bw	x86-Options.html#index-mavx512bw
mavx512cd	x86-Options.html#index-mavx512cd
mavx512dq	x86-Options.html#index-mavx512dq
mavx512er	x86-Options.html#index-mavx512er
mavx512f	x86-Options.html#index-mavx512f
mavx512fp16	x86-Options.html#index-mavx512fp16
mavx512ifma	x86-Options.html#index-mavx512ifma
mavx512pf	x86-Options.html#index-mavx512pf
mavx512vbmi	x86-Options.html#index-mavx512vbmi
mavx512vbmi2	x86-Options.html#index-mavx512vbmi2
mavx512vl	x86-Options.html#index-mavx512vl
mavx512vnni	x86-Options.html#index-mavx512vnni
mavx512vp2intersect	x86-Options.html#index-mavx512vp2intersect
mavx512vpopcntdq	x86-Options.html#index-mavx512vpopcntdq
mavxvnni	x86-Options.html#index-mavxvnni
max-vect-align	Adapteva-Epiphany-Options.html#index-max-vect-align
mb	SH-Options.html#index-mb
mbackchain	S_002f390-and-zSeries-Options.html#index-mbackchain
mbarrel-shift-enabled	LM32-Options.html#index-mbarrel-shift-enabled
mbarrel-shifter	ARC-Options.html#index-mbarrel-shifter
mbarrel_shifter	ARC-Options.html#index-mbarrel_005fshifter
mbase-addresses	MMIX-Options.html#index-mbase-addresses
mbased=	MeP-Options.html#index-mbased_003d
mbbit-peephole	ARC-Options.html#index-mbbit-peephole
mbe8	ARM-Options.html#index-mbe8
mbig	RS_002f6000-and-PowerPC-Options.html#index-mbig
mbig-endian	AArch64-Options.html#index-mbig-endian
mbig-endian	ARC-Options.html#index-mbig-endian-1
mbig-endian	ARM-Options.html#index-mbig-endian-2
mbig-endian	C6X-Options.html#index-mbig-endian-3
mbig-endian	C-SKY-Options.html#index-mbig-endian-4
mbig-endian	eBPF-Options.html#index-mbig-endian-5
mbig-endian	IA-64-Options.html#index-mbig-endian-6
mbig-endian	MCore-Options.html#index-mbig-endian-7
mbig-endian	MicroBlaze-Options.html#index-mbig-endian-8
mbig-endian	NDS32-Options.html#index-mbig-endian-9
mbig-endian	RISC-V-Options.html#index-mbig-endian-10
mbig-endian	RS_002f6000-and-PowerPC-Options.html#index-mbig-endian-11
mbig-endian	TILE-Gx-Options.html#index-mbig-endian-12
mbig-endian-data	RX-Options.html#index-mbig-endian-data
mbig-switch	V850-Options.html#index-mbig-switch
mbigtable	SH-Options.html#index-mbigtable
mbionic	GNU_002fLinux-Options.html#index-mbionic
mbit-align	RS_002f6000-and-PowerPC-Options.html#index-mbit-align
mbit-ops	CR16-Options.html#index-mbit-ops
mbitfield	M680x0-Options.html#index-mbitfield
mbitops	MeP-Options.html#index-mbitops
mbitops	SH-Options.html#index-mbitops-1
mblock-compare-inline-limit	RS_002f6000-and-PowerPC-Options.html#index-mblock-compare-inline-limit
mblock-compare-inline-loop-limit	RS_002f6000-and-PowerPC-Options.html#index-mblock-compare-inline-loop-limit
mblock-move-inline-limit	RS_002f6000-and-PowerPC-Options.html#index-mblock-move-inline-limit
mbmi	x86-Options.html#index-mbmi
mbmi2	x86-Options.html#index-mbmi2
mboard	OpenRISC-Options.html#index-mboard
mbranch-cost	Adapteva-Epiphany-Options.html#index-mbranch-cost
mbranch-cost	AVR-Options.html#index-mbranch-cost-1
mbranch-cost	MIPS-Options.html#index-mbranch-cost-2
mbranch-cost	RISC-V-Options.html#index-mbranch-cost-3
mbranch-cost=	C-SKY-Options.html#index-mbranch-cost_003d
mbranch-cost=<var>num</var>	SH-Options.html#index-mbranch-cost_003dnum
mbranch-cost=<var>number</var>	M32R_002fD-Options.html#index-mbranch-cost_003dnumber
mbranch-index	ARC-Options.html#index-mbranch-index
mbranch-likely	MIPS-Options.html#index-mbranch-likely
mbranch-predict	MMIX-Options.html#index-mbranch-predict
mbranch-protection	AArch64-Options.html#index-mbranch-protection
mbss-plt	RS_002f6000-and-PowerPC-Options.html#index-mbss-plt
mbuild-constants	DEC-Alpha-Options.html#index-mbuild-constants
mbwx	DEC-Alpha-Options.html#index-mbwx
mbypass-cache	Nios-II-Options.html#index-mbypass-cache
mc68000	M680x0-Options.html#index-mc68000
mc68020	M680x0-Options.html#index-mc68020
mc=	MeP-Options.html#index-mc_003d
mcache	C-SKY-Options.html#index-mcache
mcache-block-size	NDS32-Options.html#index-mcache-block-size
mcache-volatile	Nios-II-Options.html#index-mcache-volatile
mcall-eabi	RS_002f6000-and-PowerPC-Options.html#index-mcall-eabi
mcall-freebsd	RS_002f6000-and-PowerPC-Options.html#index-mcall-freebsd
mcall-linux	RS_002f6000-and-PowerPC-Options.html#index-mcall-linux
mcall-ms2sysv-xlogues	x86-Options.html#index-mcall-ms2sysv-xlogues
mcall-netbsd	RS_002f6000-and-PowerPC-Options.html#index-mcall-netbsd
mcall-netbsd	RS_002f6000-and-PowerPC-Options.html#index-mcall-netbsd-1
mcall-prologues	AVR-Options.html#index-mcall-prologues
mcall-sysv	RS_002f6000-and-PowerPC-Options.html#index-mcall-sysv
mcall-sysv-eabi	RS_002f6000-and-PowerPC-Options.html#index-mcall-sysv-eabi
mcall-sysv-noeabi	RS_002f6000-and-PowerPC-Options.html#index-mcall-sysv-noeabi
mcallee-super-interworking	ARM-Options.html#index-mcallee-super-interworking
mcaller-copies	HPPA-Options.html#index-mcaller-copies
mcaller-super-interworking	ARM-Options.html#index-mcaller-super-interworking
mcallgraph-data	MCore-Options.html#index-mcallgraph-data
mcase-vector-pcrel	ARC-Options.html#index-mcase-vector-pcrel
mcbcond	SPARC-Options.html#index-mcbcond
mcbranch-force-delay-slot	SH-Options.html#index-mcbranch-force-delay-slot
mcc-init	CRIS-Options.html#index-mcc-init
mccrt	C-SKY-Options.html#index-mccrt
mcfv4e	M680x0-Options.html#index-mcfv4e
mcheck-zero-division	MIPS-Options.html#index-mcheck-zero-division
mcix	DEC-Alpha-Options.html#index-mcix
mcld	x86-Options.html#index-mcld
mcldemote	x86-Options.html#index-mcldemote
mclear-hwcap	Solaris-2-Options.html#index-mclear-hwcap
mclflushopt	x86-Options.html#index-mclflushopt
mclip	MeP-Options.html#index-mclip
mclwb	x86-Options.html#index-mclwb
mclzero	x86-Options.html#index-mclzero
mcmodel	NDS32-Options.html#index-mcmodel
mcmodel	SPARC-Options.html#index-mcmodel-1
mcmodel=kernel	x86-Options.html#index-mcmodel_003dkernel
mcmodel=large	AArch64-Options.html#index-mcmodel_003dlarge
mcmodel=large	OpenRISC-Options.html#index-mcmodel_003dlarge-1
mcmodel=large	RS_002f6000-and-PowerPC-Options.html#index-mcmodel_003dlarge-2
mcmodel=large	TILE-Gx-Options.html#index-mcmodel_003dlarge-3
mcmodel=large	x86-Options.html#index-mcmodel_003dlarge-4
mcmodel=medany	RISC-V-Options.html#index-mcmodel_003dmedany
mcmodel=medium	RS_002f6000-and-PowerPC-Options.html#index-mcmodel_003dmedium
mcmodel=medium	x86-Options.html#index-mcmodel_003dmedium-1
mcmodel=medlow	RISC-V-Options.html#index-mcmodel_003dmedlow
mcmodel=small	AArch64-Options.html#index-mcmodel_003dsmall
mcmodel=small	OpenRISC-Options.html#index-mcmodel_003dsmall-1
mcmodel=small	RS_002f6000-and-PowerPC-Options.html#index-mcmodel_003dsmall-2
mcmodel=small	TILE-Gx-Options.html#index-mcmodel_003dsmall-3
mcmodel=small	x86-Options.html#index-mcmodel_003dsmall-4
mcmodel=tiny	AArch64-Options.html#index-mcmodel_003dtiny
mcmov	NDS32-Options.html#index-mcmov
mcmov	OpenRISC-Options.html#index-mcmov-1
mcmove	Adapteva-Epiphany-Options.html#index-mcmove
mcmpb	RS_002f6000-and-PowerPC-Options.html#index-mcmpb
mcmse	ARM-Options.html#index-mcmse
mco-re	eBPF-Options.html#index-mco-re
mcode-density	ARC-Options.html#index-mcode-density
mcode-density-frame	ARC-Options.html#index-mcode-density-frame
mcode-readable	MIPS-Options.html#index-mcode-readable
mcode-region	MSP430-Options.html#index-mcode-region
mcompact-branches=always	MIPS-Options.html#index-mcompact-branches_003dalways
mcompact-branches=never	MIPS-Options.html#index-mcompact-branches_003dnever
